Ссылка,Адрес,Цена,Тип помещения,Площадь,Этаж,Этажей в доме,Телефон
https://cian.ru/rent/commercial/307982849/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, ул. Павлодарская, 4/2",73710,Свобод. назнач.,56.7,1,18,+79120323872
https://cian.ru/rent/commercial/308989837/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, ул. Артинская, 4",17000 - 847500,Офис,565.0,1,4,+79587180682
https://cian.ru/rent/commercial/309162764/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Сибирский, тракт Сибирский, 57",583800,Офис,778.4,5,5,+79126627189
https://cian.ru/rent/commercial/309201686/,"Свердловская область, Екатеринбург, р-н Центр, ул. Малышева, 71",616700,Офис,352.4,4,9,+79193902864
https://cian.ru/rent/commercial/309275460/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Юго-Западный, ул. Московская, 48Б",253100,Офис,253.1,3,3,+79126627189
https://cian.ru/rent/commercial/309676118/,"Свердловская область, Екатеринбург, р-н Центр, ул. 8 Марта, 12А",47500,Офис,50.0,2,11,+79126412626
https://cian.ru/rent/commercial/309850198/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Юго-Западный, ул. Московская, 48Б",105700,Офис,105.7,3,3,+79126627189
https://cian.ru/rent/commercial/310151526/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Турбинная, 7",27000,Офис,30.0,1,4,+79827336133
https://cian.ru/rent/commercial/310401813/,"Свердловская область, Екатеринбург, р-н Центр, ул. Карла Маркса, 43",112945,Офис,322.7,1,9,+79126627189
https://cian.ru/rent/commercial/310412930/,"Свердловская область, Екатеринбург, р-н Центр, ул. Розы Люксембург, 49",184860,Офис,102.7,7,15,+79122632045
https://cian.ru/rent/commercial/310907396/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Юго-Западный, ул. Фурманова, 126",146040,Офис,121.7,2,16,+79827006713
https://cian.ru/rent/commercial/311142548/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Сибирский, тракт Сибирский, 57",311360,Офис,389.2,5,5,+79126627189
https://cian.ru/rent/commercial/311425152/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",47500,Офис,50.0,2,5,+79810787150
https://cian.ru/rent/commercial/311425199/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",522500,Офис,550.0,2,5,+79810787150
https://cian.ru/rent/commercial/311425230/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Машинная, 1Б/5",615000,Офис,384.9,2,37,+79126525410
https://cian.ru/rent/commercial/311526298/,"Свердловская область, Екатеринбург, р-н Центр, ул. 8 Марта, 51",161760,Офис,67.4,7,23,+79827408459
https://cian.ru/rent/commercial/311602306/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 15А",40000,Офис,32.0,3,3,+79827432151
https://cian.ru/rent/commercial/311606382/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Малышева, 136",138000,Офис,138.0,-1,4,+79012493008
https://cian.ru/rent/commercial/311623283/,"Свердловская область, Екатеринбург, р-н Центр, ул. Короленко, 10",59000,Свобод. назнач.,15.0,1,5,+79842334768
https://cian.ru/rent/commercial/311771595/,"Свердловская область, Екатеринбург, р-н Центр, ул. Азина, 22/7",376740,Офис,289.8,2,3,+79810782564
https://cian.ru/rent/commercial/311888879/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Ботанический, ул. Крестинского, 46А",120300,Офис,240.6,3,10,+79122500407
https://cian.ru/rent/commercial/312602866/,"Свердловская область, Екатеринбург, р-н Октябрьский, ул. Белинского, 83",75673,Офис,58.21,18,20,+79826883985
https://cian.ru/rent/commercial/312608619/,"Свердловская область, Екатеринбург, р-н Центр, ул. 8 Марта, 51",394400,Офис,136.0,6,22,+79587180045
https://cian.ru/rent/commercial/312618918/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, ул. Рощинская, 21к3",47000,Свобод. назнач.,36.5,1,18,+79827322495
https://cian.ru/rent/commercial/312654194/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Уральская, 2",150500,Офис,215.0,1,1,+79386996466
https://cian.ru/rent/commercial/312845618/,"Свердловская область, Екатеринбург, р-н Центр, ул. Мельковская, 9",273700,Офис,119.0,1,1,+79122522096
https://cian.ru/rent/commercial/312863688/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Парковый, пл. Обороны, 1",40000,Офис,20.0,1,5,+79126929490
https://cian.ru/rent/commercial/312967839/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Уральская, 2",174000,Офис,215.6,1,12,+79126627189
https://cian.ru/rent/commercial/312996971/,"Свердловская область, Екатеринбург, р-н Центр, ул. Луначарского, 194",16400,Офис,16.4,-1,6,+79826323414
https://cian.ru/rent/commercial/313017198/,"Свердловская область, Екатеринбург, р-н Центр, ул. Бажова, 68",131820,Офис,101.0,1,1,+79826106781
https://cian.ru/rent/commercial/313173310/,"Свердловская область, Екатеринбург, мкр. Академический, р-н Ленинский, ул. Амундсена, 165",124800,Свобод. назнач.,78.0,1,4,+79126525428
https://cian.ru/rent/commercial/313380635/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Блюхера, 47",275000 - 863500,Свобод. назнач.,785.0,2,2,+79126422120
https://cian.ru/rent/commercial/313505272/,"Свердловская область, Екатеринбург, р-н Академический, мкр. Академический, ул. Академика Ландау, 6",159000,Свобод. назнач.,79.5,1,15,+79827229245
https://cian.ru/rent/commercial/313528911/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. ВИЗ, ул. Татищева, 84",187720,Офис,144.4,1,9,+79126219079
https://cian.ru/rent/commercial/313616459/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Юго-Западный, ул. Репина, 14",305700,Офис,203.8,1,4,+79827226181
https://cian.ru/rent/commercial/313778834/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",31350,Офис,28.5,5,6,+79126307166
https://cian.ru/rent/commercial/313778839/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",78000,Офис,60.0,3,6,+79126307166
https://cian.ru/rent/commercial/313778841/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",39000,Офис,30.0,3,6,+79126307166
https://cian.ru/rent/commercial/313778844/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",41600,Офис,32.0,3,6,+79126307166
https://cian.ru/rent/commercial/313778847/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",58500,Офис,45,2,6,+79126307166
https://cian.ru/rent/commercial/313778850/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",58500,Офис,45,3,6,+79126307166
https://cian.ru/rent/commercial/313778854/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",78000,Офис,60,2,6,+79126307166
https://cian.ru/rent/commercial/313778856/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",23400,Офис,18,4,6,+79126307166
https://cian.ru/rent/commercial/313778860/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",20800,Офис,16,5,6,+79126307166
https://cian.ru/rent/commercial/313778864/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",20800,Офис,16,6,6,+79126307166
https://cian.ru/rent/commercial/313778869/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",23400,Офис,18,5,6,+79126307166
https://cian.ru/rent/commercial/313778873/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",39000,Офис,30,6,6,+79126307166
https://cian.ru/rent/commercial/313778875/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",20800,Офис,16,4,6,+79126307166
https://cian.ru/rent/commercial/313778877/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",39000,Офис,30,5,6,+79126307166
https://cian.ru/rent/commercial/313778878/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",22100,Офис,17.0,6,6,+79126307166
https://cian.ru/rent/commercial/313778880/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",20800,Офис,16.0,4,6,+79126307166
https://cian.ru/rent/commercial/313778882/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",41600,Офис,32.0,4,6,+79126307166
https://cian.ru/rent/commercial/313805665/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. ЖБИ, тракт Сибирский (дублер), 2",21600,Офис,36.0,2,4,+79126525320
https://cian.ru/rent/commercial/313848186/,"Свердловская область, Екатеринбург, р-н Центр, ул. Луначарского, 189",886000,Свобод. назнач.,443.0,1,5,+79122849148
https://cian.ru/rent/commercial/313849771/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Стачек, 62",304500,Офис,203.0,1,15,+79126627189
https://cian.ru/rent/commercial/313872047/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. ВИЗ, ул. Хомякова, 6",90000,Свобод. назнач.,106.0,1,2,+79827132270
https://cian.ru/rent/commercial/314128022/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Солнечный, бул. Золотистый, 13",171000,Свобод. назнач.,85.5,1,16,+79122629069
https://cian.ru/rent/commercial/314151454/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Черняховского, 86к9/3",27600,Офис,34.5,2,9,+79126627189
https://cian.ru/rent/commercial/314176095/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. ВИЗ, ул. Кирова, 36Б",1000000,Офис,459.8,1,3,+79826207179
https://cian.ru/rent/commercial/314285002/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Кировградская, 12",120300,Свобод. назнач.,80.2,2,15,+79827229245
https://cian.ru/rent/commercial/314292372/,"Свердловская область, Екатеринбург, р-н Академический, мкр. Академический, ул. Академика Ландау, 6",114545,Свобод. назнач.,73.9,1,18,+79827229245
https://cian.ru/rent/commercial/314477589/,"Свердловская область, Екатеринбург, р-н Академический, мкр. Академический, ул. Академика Ландау, 7",111000,Свобод. назнач.,222.0,1,9,+79122608172
https://cian.ru/rent/commercial/314538427/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Студенческая, 11",38000,Офис,25.0,1,4,+79120323578
https://cian.ru/rent/commercial/314540272/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Московская, 249",1645200,Офис,914.0,3,3,+79126404693
https://cian.ru/rent/commercial/314542163/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, ул. Щербакова, 20",119000,Офис,101.0,1,17,+79126219079
https://cian.ru/rent/commercial/314560967/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",255000,Офис,300.0,2,5,+79122510269
https://cian.ru/rent/commercial/314561346/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Заречный, ул. Черепанова, 25",912000,Офис,960.0,1,4,+79122510269
https://cian.ru/rent/commercial/314561662/,"Свердловская область, Екатеринбург, р-н Центр, ул. Карла Маркса, 43",322000,Офис,322.0,1,5,+79122510269
https://cian.ru/rent/commercial/314712742/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Заречный, ул. Колмогорова, 3",120000,Офис,160.0,3,3,+79826537102
https://cian.ru/rent/commercial/314772031/,"Свердловская область, Екатеринбург, р-н Центр, ул. Степана Разина, 2",65000,Офис,5.0,2,16,+79126131582
https://cian.ru/rent/commercial/314824556/,"Свердловская область, Екатеринбург, р-н Центр, ул. Пушкина, 5",33000,Офис,20.0,4,4,+79193629654
https://cian.ru/rent/commercial/314932356/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Автовокзал, ул. 8 Марта, 194",275000,Свобод. назнач.,252.0,2,16,+79827401868
https://cian.ru/rent/commercial/315082630/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Заречный, ул. Черепанова, 23",350000,Офис,279.0,2,4,+79826877269
https://cian.ru/rent/commercial/315127435/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Студенческая, 1В",308000,Свобод. назнач.,440.0,1,4,+79122510269
https://cian.ru/rent/commercial/315127511/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Студенческая, 1В",756000,Свобод. назнач.,1080.0,2,4,+79122510269
https://cian.ru/rent/commercial/315127573/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Студенческая, 1В",448000,Свобод. назнач.,640.0,2,4,+79122510269
https://cian.ru/rent/commercial/315192525/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Коминтерна, 16",51480,Офис,58.5,7,8,+79826018619
https://cian.ru/rent/commercial/315231637/,"Свердловская область, Екатеринбург, р-н Центр, ул. Малышева, 71",616700,Свобод. назнач.,352.4,4,9,+79193902864
https://cian.ru/rent/commercial/315232933/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Советская, 64/2",5000,Свобод. назнач.,6.0,12,32,+79126629827
https://cian.ru/rent/commercial/315337116/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, ул. Артинская, 2",186000,Свобод. назнач.,186.0,1,2,+79122510269
https://cian.ru/rent/commercial/315387330/,"Свердловская область, Екатеринбург, р-н Октябрьский, ул. Белинского, 83",1962090,Офис,912.6,13,23,+79120511898
https://cian.ru/rent/commercial/315432521/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, ул. Маневровая, 9",22000,Офис,28.0,2,4,+79126418438
https://cian.ru/rent/commercial/315591412/,"Свердловская область, Екатеринбург, р-н Октябрьский, мкр. Шарташский рынок, ул. Восточная, 11Б",434700,Свобод. назнач.,322.0,1,5,+79122510269
https://cian.ru/rent/commercial/315643879/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Июльская, 26",300000,Свобод. назнач.,176.2,1,22,+79827114804
https://cian.ru/rent/commercial/315702652/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Фронтовых Бригад, 18/1",43638,Свобод. назнач.,103.9,3,3,+79826904596
https://cian.ru/rent/commercial/315747046/,"Свердловская область, Екатеринбург, р-н Центр, ул. Луначарского, 77",386100,Офис,297.0,4,7,+79122311420
https://cian.ru/rent/commercial/315751295/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Новая Сортировка, ул. Сазонова, 70",43920,Офис,73.2,3,3,+79122334019
https://cian.ru/rent/commercial/315790302/,"Свердловская область, Екатеринбург, р-н Центр, ул. Боевых Дружин, 20",704000,Офис,220.0,3,6,+79366995669
https://cian.ru/rent/commercial/315853660/,"Свердловская область, Екатеринбург, р-н Центр, ул. Толмачева, 9",178500,Офис,119.0,2,9,+79810787150
https://cian.ru/rent/commercial/315859066/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Коммунистическая, 10",15000,Свобод. назнач.,6.6,1,5,+79126730635
https://cian.ru/rent/commercial/316047891/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, ул. Блюхера, 11",1246000,Офис,1780.0,2,6,+79122510329
https://cian.ru/rent/commercial/316259184/,"Свердловская область, Екатеринбург, р-н Центр, ул. Хохрякова, 41",3256740,Офис,1400.0,1,3,+79827229245
https://cian.ru/rent/commercial/316259482/,"Свердловская область, Екатеринбург, р-н Центр, ул. Хохрякова, 41",3256740,Офис,1809.3,1,3,+79827229245
https://cian.ru/rent/commercial/316267444/,"Свердловская область, Екатеринбург, р-н Центр, ул. Хохрякова, 41",1111022,Офис,395.1,1,3,+79827229245
https://cian.ru/rent/commercial/316267897/,"Свердловская область, Екатеринбург, р-н Центр, ул. Хохрякова, 41",1184960,Офис,449.7,2,3,+79827229245
https://cian.ru/rent/commercial/316322436/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",23400,Офис,18.0,4,6,+79126627189
https://cian.ru/rent/commercial/316322444/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Уралмаш, ул. Машиностроителей, 19",49500,Офис,45.0,4,6,+79126627189
https://cian.ru/rent/commercial/316390665/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Автовокзал, ул. 8 Марта, 179К",120000,Свобод. назнач.,300.0,2,2,+79193803641
https://cian.ru/rent/commercial/316405962/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Косарева, 28",42625,Офис,77.5,2,2,+79126526015
https://cian.ru/rent/commercial/316444037/,"Свердловская область, Екатеринбург, р-н Центр, ул. 8 Марта, 32А",470900,Офис,277.0,4,6,+79126923767
https://cian.ru/rent/commercial/316461798/,"Свердловская область, Екатеринбург, р-н Центр, ул. Малышева, 51",85000,Офис,51.1,6,54,+79126627189
https://cian.ru/rent/commercial/316463934/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, ул. Чебышева, 4",835000,Свобод. назнач.,835.0,-1,4,+79126923767
https://cian.ru/rent/commercial/316556276/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, ул. Щербакова, 2",348975,Офис,258.5,3,3,+79122510269
https://cian.ru/rent/commercial/316556291/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, ул. Щербакова, 2",474525,Офис,351.5,3,3,+79122510269
